Datetime;Spot;day_cat;wind;sun;temp;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23;d1;d2;d3;d4;t_saw1;t_saw2
2.02E+11;48.91;1;2.99;0;9.8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;0.666666667
2.02E+11;47.36;1;2.76;0;9.37;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0.5
2.02E+11;48.28;1;2.48;0;9.22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;0.333333333
2.02E+11;54.18;1;2.59;0;9.07;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;0.166666667
2.02E+11;63.62;1;2.68;3.58;9.17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2.02E+11;78.87;1;2.55;48.06;10.5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;-0.166666667
2.02E+11;79.74;1;2.93;60;12.7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;-0.333333333
2.02E+11;74.5;1;3.24;59.84;15.3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;-0.5
2.02E+11;55.42;1;3.33;60;17.2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;-0.666666667
2.02E+11;50.21;1;3.49;60;18.6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;-0.833333333
2.02E+11;46.64;1;3.81;56.96;19.8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-1
2.02E+11;50.72;1;4.05;59.76;20.3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.166666667;-0.833333333
2.02E+11;48.24;1;4.01;60;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.333333333;-0.666666667
2.02E+11;48.55;1;3.79;60;20.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;-0.5;-0.5
2.02E+11;54.98;1;3.29;60;19.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;-0.666666667;-0.333333333
2.02E+11;74.99;1;2.34;27.25;17.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;-0.833333333;-0.166666667
2.02E+11;78.66;1;1.76;0;15.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;-1;0
2.02E+11;82.96;1;1.99;0;14.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;-0.833333333;0.166666667
2.02E+11;79.9;1;1.71;0;13.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;-0.666666667;0.333333333
2.02E+11;65.08;1;1.69;0;12.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;-0.5;0.5
2.02E+11;59.86;1;1.81;0;12.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;-0.333333333;0.666666667
2.02E+11;54.7;1;1.56;0;11.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;-0.166666667;0.833333333
2.02E+11;50.1;2;1.57;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
2.02E+11;52.98;2;1.46;0;9.47;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.166666667;0.833333333
2.02E+11;51.52;2;1.65;0;9.3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.333333333;0.666666667
2.02E+11;51;2;1.71;0;9.5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.5;0.5
2.02E+11;50;2;1.51;0;9.07;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.666666667;0.333333333
2.02E+11;46.91;2;1.47;0;8.8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.833333333;0.166666667
2.02E+11;53.03;2;1.55;0.56;9.27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
2.02E+11;62.37;2;2.09;34.59;10.9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.833333333;-0.166666667
2.02E+11;63.98;2;2.15;40.59;13.9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.666666667;-0.333333333
2.02E+11;70.72;2;2.26;48.74;16.5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.5;-0.5
2.02E+11;64.79;2;2.56;55.69;18.6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.333333333;-0.666666667
2.02E+11;59.06;2;2.97;53.06;20.3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.166666667;-0.833333333
